GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
NHS Greater Glasgow and Clyde,2025,00-4,All,Board,,428,5,20,5,16,0,0,0,29,44,145,5,22,0,0,10,0,0,36,0.8,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0,0,0,0,0,0.1
NHS Greater Glasgow and Clyde,2025,05-9,All,Board,,2861,0,43,5,15,0,0,5,141,128,351,10,15,0,0,5,0,10,41,4.6,0,0.1,0,0,0,0,0,0.2,0.2,0.6,0,0,0,0,0,0,0,0.1
NHS Greater Glasgow and Clyde,2025,10-14,All,Board,,3852,0,59,10,10,5,0,44,315,151,490,10,31,0,5,10,0,29,48,5.6,0,0.1,0,0,0,0,0.1,0.5,0.2,0.7,0,0,0,0,0,0,0,0.1
NHS Greater Glasgow and Clyde,2025,15-19,All,Board,,3265,0,85,13,23,5,0,832,436,545,700,10,65,58,10,5,0,43,44,4.6,0,0.1,0,0,0,0,1.2,0.6,0.8,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Greater Glasgow and Clyde,2025,20-24,All,Board,,3942,11,165,26,34,15,5,4999,601,648,864,30,168,295,20,10,0,82,75,4.3,0,0.2,0,0,0,0,5.5,0.7,0.7,0.9,0,0.2,0.3,0,0,0,0.1,0.1
NHS Greater Glasgow and Clyde,2025,25-29,All,Board,,5323,52,272,46,58,25,5,10764,958,812,1155,27,480,661,47,15,0,114,131,4.3,0,0.2,0,0,0,0,8.7,0.8,0.7,0.9,0,0.4,0.5,0,0,0,0.1,0.1
NHS Greater Glasgow and Clyde,2025,30-34,All,Board,,6145,75,462,89,65,65,0,14814,1410,695,1380,57,1129,962,74,15,5,179,200,4.9,0.1,0.4,0.1,0.1,0.1,0,11.9,1.1,0.6,1.1,0,0.9,0.8,0.1,0,0,0.1,0.2
NHS Greater Glasgow and Clyde,2025,35-39,All,Board,,6291,152,731,166,185,175,5,17326,2222,705,1505,139,2391,1130,128,25,20,322,294,5.5,0.1,0.6,0.1,0.2,0.2,0,15,1.9,0.6,1.3,0.1,2.1,1,0.1,0,0,0.3,0.3
NHS Greater Glasgow and Clyde,2025,40-44,All,Board,,6656,209,1092,314,450,429,5,18342,3418,720,1571,171,4581,1320,178,42,48,357,455,6.5,0.2,1.1,0.3,0.4,0.4,0,17.8,3.3,0.7,1.5,0.2,4.5,1.3,0.2,0,0,0.3,0.4
NHS Greater Glasgow and Clyde,2025,45-49,All,Board,,6158,289,1352,450,1046,873,10,16971,4347,672,1505,255,6962,1446,214,57,101,425,759,7.2,0.3,1.6,0.5,1.2,1,0,20,5.1,0.8,1.8,0.3,8.2,1.7,0.3,0.1,0.1,0.5,0.9
NHS Greater Glasgow and Clyde,2025,50-54,All,Board,,7084,594,2301,914,2182,1905,24,19509,5976,655,1684,483,11766,1664,416,112,284,640,1413,8.6,0.7,2.8,1.1,2.7,2.3,0,23.8,7.3,0.8,2.1,0.6,14.4,2,0.5,0.1,0.3,0.8,1.7
NHS Greater Glasgow and Clyde,2025,55-59,All,Board,,8097,1176,3573,1699,3976,3883,79,21627,8732,549,1807,856,18443,1835,1258,167,641,991,2546,9.4,1.4,4.1,2,4.6,4.5,0.1,25.1,10.1,0.6,2.1,1,21.4,2.1,1.5,0.2,0.7,1.1,3
NHS Greater Glasgow and Clyde,2025,60-64,All,Board,,8515,1995,5321,2970,5457,6327,199,21774,11170,396,1734,1368,23961,1747,2990,291,1266,1298,3828,10,2.4,6.3,3.5,6.4,7.5,0.2,25.7,13.2,0.5,2,1.6,28.3,2.1,3.5,0.3,1.5,1.5,4.5
NHS Greater Glasgow and Clyde,2025,65-69,All,Board,,6908,2854,6114,4110,6056,7536,371,17074,11202,216,1384,1761,25647,1309,4265,338,1539,1260,4448,9.8,4,8.7,5.8,8.6,10.7,0.5,24.2,15.9,0.3,2,2.5,36.4,1.9,6.1,0.5,2.2,1.8,6.3
NHS Greater Glasgow and Clyde,2025,70-74,All,Board,,5144,3571,6408,5274,5265,7142,618,11599,9515,111,973,1897,23538,921,4529,345,1521,1083,4407,9.7,6.7,12.1,9.9,9.9,13.4,1.2,21.8,17.9,0.2,1.8,3.6,44.3,1.7,8.5,0.6,2.9,2,8.3
NHS Greater Glasgow and Clyde,2025,75-79,All,Board,,3865,4575,6609,7114,4718,7246,1199,8613,7947,54,745,2296,22104,750,5255,476,1389,994,4735,9,10.6,15.4,16.5,11,16.8,2.8,20,18.5,0.1,1.7,5.3,51.4,1.7,12.2,1.1,3.2,2.3,11
NHS Greater Glasgow and Clyde,2025,80-84,All,Board,,2312,4088,4762,6379,3079,5264,1544,4720,4891,18,465,1902,15235,473,4071,484,943,641,3846,8.7,15.4,17.9,24,11.6,19.8,5.8,17.7,18.4,0.1,1.7,7.1,57.3,1.8,15.3,1.8,3.5,2.4,14.5
NHS Greater Glasgow and Clyde,2025,85plus,All,Board,,1940,5288,4394,8642,2374,5803,2610,3570,4217,10,381,2653,15273,589,5147,1139,815,492,4658,7.8,21.2,17.6,34.6,9.5,23.2,10.4,14.3,16.9,0,1.5,10.6,61.1,2.4,20.6,4.6,3.3,2,18.6
NHS Greater Glasgow and Clyde,2025,All,All,Board,,88786,24936,43761,38227,35005,46698,6681,192583,77526,7129,18839,13929,171806,15164,28605,3550,8575,8964,31964,6.5,1.8,3.2,2.8,2.6,3.4,0.5,14.1,5.7,0.5,1.4,1,12.6,1.1,2.1,0.3,0.6,0.7,2.3
NHS Highland,2022,00-4,All,Board,,102,0,5,0,0,0,0,5,10,0,29,0,0,0,0,0,0,0,10,0.8,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1
NHS Highland,2022,05-9,All,Board,,605,0,22,0,0,0,0,0,35,22,75,0,5,0,0,5,0,0,15,3.8,0,0.1,0,0,0,0,0,0.2,0.1,0.5,0,0,0,0,0,0,0,0.1
NHS Highland,2022,10-14,All,Board,,923,0,23,0,0,0,0,10,94,46,123,5,5,0,5,0,0,10,5,5.3,0,0.1,0,0,0,0,0.1,0.5,0.3,0.7,0,0,0,0,0,0,0.1,0
NHS Highland,2022,15-19,All,Board,,838,0,29,5,5,0,0,204,136,105,146,5,10,10,0,5,0,16,10,5.5,0,0.2,0,0,0,0,1.3,0.9,0.7,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Highland,2022,20-24,All,Board,,939,5,28,5,5,0,0,1078,143,175,231,5,39,71,5,5,0,24,15,6.5,0,0.2,0,0,0,0,7.4,1,1.2,1.6,0,0.3,0.5,0,0,0,0.2,0.1
NHS Highland,2022,25-29,All,Board,,1131,10,54,10,10,0,0,2292,183,183,239,5,96,148,10,5,0,44,15,6.6,0.1,0.3,0.1,0.1,0,0,13.4,1.1,1.1,1.4,0,0.6,0.9,0.1,0,0,0.3,0.1
NHS Highland,2022,30-34,All,Board,,1249,26,121,15,10,10,0,3344,266,221,311,10,165,166,17,10,0,50,36,6.6,0.1,0.6,0.1,0.1,0.1,0,17.6,1.4,1.2,1.6,0.1,0.9,0.9,0.1,0.1,0,0.3,0.2
NHS Highland,2022,35-39,All,Board,,1334,26,180,22,25,28,0,4039,378,230,348,15,401,278,31,16,5,82,53,6.8,0.1,0.9,0.1,0.1,0.1,0,20.7,1.9,1.2,1.8,0.1,2.1,1.4,0.2,0.1,0,0.4,0.3
NHS Highland,2022,40-44,All,Board,,1430,48,296,42,68,74,0,4480,552,225,411,27,795,308,39,26,5,108,106,7.3,0.2,1.5,0.2,0.3,0.4,0,22.8,2.8,1.1,2.1,0.1,4,1.6,0.2,0.1,0,0.5,0.5
NHS Highland,2022,45-49,All,Board,,1654,87,410,86,129,193,5,4867,763,239,390,51,1547,374,64,35,28,145,180,8.3,0.4,2.1,0.4,0.6,1,0,24.5,3.8,1.2,2,0.3,7.8,1.9,0.3,0.2,0.1,0.7,0.9
NHS Highland,2022,50-54,All,Board,,2067,188,725,169,378,532,11,6263,1380,236,446,101,3124,403,171,54,86,217,341,8.5,0.8,3,0.7,1.6,2.2,0,25.8,5.7,1,1.8,0.4,12.9,1.7,0.7,0.2,0.4,0.9,1.4
NHS Highland,2022,55-59,All,Board,,2220,341,1279,309,645,1047,25,6789,2040,176,474,166,4854,434,401,113,175,350,620,8.3,1.3,4.8,1.2,2.4,3.9,0.1,25.4,7.6,0.7,1.8,0.6,18.1,1.6,1.5,0.4,0.7,1.3,2.3
NHS Highland,2022,60-64,All,Board,,2113,570,1679,471,876,1560,57,5944,2465,101,438,266,6437,401,731,129,324,336,915,8.5,2.3,6.8,1.9,3.5,6.3,0.2,24,9.9,0.4,1.8,1.1,25.9,1.6,2.9,0.5,1.3,1.4,3.7
NHS Highland,2022,65-69,All,Board,,1802,866,2062,786,1099,1998,128,4919,2690,82,393,349,7533,315,1035,178,450,392,1102,8.3,4,9.4,3.6,5,9.2,0.6,22.5,12.3,0.4,1.8,1.6,34.5,1.4,4.7,0.8,2.1,1.8,5
NHS Highland,2022,70-74,All,Board,,1657,1448,2703,1365,1346,2523,282,4160,2909,53,349,591,8720,289,1494,228,562,428,1498,8.2,7.2,13.4,6.8,6.7,12.5,1.4,20.6,14.4,0.3,1.7,2.9,43.1,1.4,7.4,1.1,2.8,2.1,7.4
NHS Highland,2022,75-79,All,Board,,1254,1764,2568,1875,1258,2566,506,2862,2510,18,257,671,7888,240,1427,232,567,377,1627,8.2,11.5,16.7,12.2,8.2,16.7,3.3,18.6,16.3,0.1,1.7,4.4,51.3,1.6,9.3,1.5,3.7,2.5,10.6
NHS Highland,2022,80-84,All,Board,,793,1554,1844,1959,794,2105,725,1612,1792,14,144,651,5748,212,1257,254,504,266,1442,8.1,15.8,18.7,19.9,8.1,21.4,7.4,16.4,18.2,0.1,1.5,6.6,58.4,2.2,12.8,2.6,5.1,2.7,14.7
NHS Highland,2022,85plus,All,Board,,580,1836,1664,2822,597,2104,1276,1229,1392,5,123,869,5548,302,1497,367,430,226,1768,6.6,20.8,18.9,32,6.8,23.9,14.5,13.9,15.8,0.1,1.4,9.9,62.9,3.4,17,4.2,4.9,2.6,20
NHS Highland,2022,All,All,Board,,22691,8767,15688,9944,7247,14745,3018,54098,19736,2138,4927,3787,52917,3958,8181,1664,3142,3070,9758,7,2.7,4.9,3.1,2.2,4.6,0.9,16.8,6.1,0.7,1.5,1.2,16.4,1.2,2.5,0.5,1,1,3
NHS Highland,2023,00-4,All,Board,,103,0,5,0,0,0,0,0,5,5,22,0,0,0,0,0,0,0,10,0.8,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1
NHS Highland,2023,05-9,All,Board,,607,0,15,0,0,0,0,0,40,21,88,5,10,0,0,5,0,0,15,3.9,0,0.1,0,0,0,0,0,0.3,0.1,0.6,0,0.1,0,0,0,0,0,0.1
NHS Highland,2023,10-14,All,Board,,1006,0,24,0,0,0,0,16,88,32,123,5,5,0,5,0,0,5,10,5.8,0,0.1,0,0,0,0,0.1,0.5,0.2,0.7,0,0,0,0,0,0,0,0.1
NHS Highland,2023,15-19,All,Board,,939,0,26,5,5,0,0,226,146,140,162,0,15,15,0,5,0,21,15,5.8,0,0.2,0,0,0,0,1.4,0.9,0.9,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Highland,2023,20-24,All,Board,,933,5,32,10,5,0,0,990,143,176,210,5,34,60,5,5,0,24,15,6.5,0,0.2,0.1,0,0,0,6.9,1,1.2,1.5,0,0.2,0.4,0,0,0,0.2,0.1
NHS Highland,2023,25-29,All,Board,,1175,10,48,10,10,0,0,2247,184,195,262,5,95,160,5,5,0,44,15,6.8,0.1,0.3,0.1,0.1,0,0,13.1,1.1,1.1,1.5,0,0.6,0.9,0,0,0,0.3,0.1
NHS Highland,2023,30-34,All,Board,,1349,27,121,15,10,5,0,3365,280,227,330,10,175,166,26,10,5,59,38,6.9,0.1,0.6,0.1,0.1,0,0,17.2,1.4,1.2,1.7,0.1,0.9,0.9,0.1,0.1,0,0.3,0.2
NHS Highland,2023,35-39,All,Board,,1412,30,196,29,27,33,0,4147,408,246,347,16,442,268,26,22,5,80,55,7,0.1,1,0.1,0.1,0.2,0,20.7,2,1.2,1.7,0.1,2.2,1.3,0.1,0.1,0,0.4,0.3
NHS Highland,2023,40-44,All,Board,,1570,49,274,45,75,78,0,4625,585,241,410,21,876,314,47,17,10,112,101,7.6,0.2,1.3,0.2,0.4,0.4,0,22.5,2.8,1.2,2,0.1,4.3,1.5,0.2,0.1,0,0.5,0.5
NHS Highland,2023,45-49,All,Board,,1648,89,451,77,117,205,0,4812,810,230,379,53,1554,364,61,42,28,138,187,8.4,0.5,2.3,0.4,0.6,1,0,24.6,4.1,1.2,1.9,0.3,7.9,1.9,0.3,0.2,0.1,0.7,1
NHS Highland,2023,50-54,All,Board,,2170,194,774,160,368,508,15,6140,1448,253,467,107,3180,415,163,62,79,224,322,9,0.8,3.2,0.7,1.5,2.1,0.1,25.6,6,1.1,1.9,0.4,13.3,1.7,0.7,0.3,0.3,0.9,1.3
NHS Highland,2023,55-59,All,Board,,2370,372,1262,278,685,1062,22,6922,2157,209,480,172,5127,446,382,99,170,358,631,8.7,1.4,4.6,1,2.5,3.9,0.1,25.4,7.9,0.8,1.8,0.6,18.8,1.6,1.4,0.4,0.6,1.3,2.3
NHS Highland,2023,60-64,All,Board,,2215,599,1757,487,902,1586,47,6213,2578,114,467,293,6615,402,741,144,311,362,938,8.6,2.3,6.8,1.9,3.5,6.2,0.2,24.2,10,0.4,1.8,1.1,25.8,1.6,2.9,0.6,1.2,1.4,3.7
NHS Highland,2023,65-69,All,Board,,1939,902,2167,820,1145,2066,127,5156,2821,79,398,381,7780,325,1028,169,438,401,1135,8.6,4,9.6,3.6,5.1,9.2,0.6,22.9,12.5,0.4,1.8,1.7,34.5,1.4,4.6,0.7,1.9,1.8,5
NHS Highland,2023,70-74,All,Board,,1706,1408,2633,1338,1285,2411,293,4186,2939,65,381,577,8624,292,1435,213,565,445,1508,8.5,7,13.2,6.7,6.4,12,1.5,20.9,14.7,0.3,1.9,2.9,43.1,1.5,7.2,1.1,2.8,2.2,7.5
NHS Highland,2023,75-79,All,Board,,1354,1887,2801,1975,1322,2686,544,3071,2782,24,274,766,8529,259,1525,255,570,390,1711,8.1,11.3,16.8,11.9,7.9,16.1,3.3,18.4,16.7,0.1,1.6,4.6,51.2,1.6,9.2,1.5,3.4,2.3,10.3
NHS Highland,2023,80-84,All,Board,,861,1637,1991,2008,846,2155,745,1721,1844,13,162,683,5931,209,1264,262,486,276,1530,8.4,15.9,19.3,19.5,8.2,20.9,7.2,16.7,17.9,0.1,1.6,6.6,57.5,2,12.3,2.5,4.7,2.7,14.8
NHS Highland,2023,85plus,All,Board,,625,1926,1742,2852,614,2169,1234,1251,1450,5,113,942,5654,257,1482,376,425,219,1807,6.9,21.3,19.3,31.6,6.8,24,13.7,13.8,16,0.1,1.3,10.4,62.6,2.8,16.4,4.2,4.7,2.4,20
NHS Highland,2023,All,All,Board,,23982,9138,16321,10109,7420,14972,3031,55089,20710,2275,5075,4045,54641,3954,8195,1691,3094,3159,10040,7.3,2.8,5,3.1,2.3,4.6,0.9,16.7,6.3,0.7,1.5,1.2,16.6,1.2,2.5,0.5,0.9,1,3.1
NHS Highland,2024,00-4,All,Board,,90,0,5,0,0,0,0,0,10,5,34,0,0,0,0,0,0,0,10,0.7,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,0.1
NHS Highland,2024,05-9,All,Board,,686,0,15,0,0,0,0,0,37,15,79,5,10,0,0,0,0,0,10,4.5,0,0.1,0,0,0,0,0,0.2,0.1,0.5,0,0.1,0,0,0,0,0,0.1
NHS Highland,2024,10-14,All,Board,,1008,0,28,0,0,0,0,10,90,30,126,5,10,0,0,0,0,5,10,5.8,0,0.2,0,0,0,0,0.1,0.5,0.2,0.7,0,0.1,0,0,0,0,0,0.1
NHS Highland,2024,15-19,All,Board,,910,0,23,0,5,0,0,213,141,146,166,0,15,10,5,0,0,15,10,5.4,0,0.1,0,0,0,0,1.3,0.8,0.9,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Highland,2024,20-24,All,Board,,880,5,33,10,5,0,0,897,149,166,208,5,40,61,5,5,0,20,16,6.2,0,0.2,0.1,0,0,0,6.3,1,1.2,1.5,0,0.3,0.4,0,0,0,0.1,0.1
NHS Highland,2024,25-29,All,Board,,1190,15,43,10,15,5,0,2175,198,219,260,10,108,165,0,5,0,44,22,6.9,0.1,0.2,0.1,0.1,0,0,12.6,1.1,1.3,1.5,0.1,0.6,1,0,0,0,0.3,0.1
NHS Highland,2024,30-34,All,Board,,1375,23,121,23,10,10,0,3264,280,228,339,10,217,183,23,10,5,59,36,6.9,0.1,0.6,0.1,0.1,0.1,0,16.5,1.4,1.2,1.7,0.1,1.1,0.9,0.1,0.1,0,0.3,0.2
NHS Highland,2024,35-39,All,Board,,1424,40,193,29,30,31,0,4117,435,248,351,20,439,269,30,25,5,78,58,7,0.2,0.9,0.1,0.1,0.2,0,20.2,2.1,1.2,1.7,0.1,2.2,1.3,0.1,0.1,0,0.4,0.3
NHS Highland,2024,40-44,All,Board,,1547,56,288,45,66,74,5,4691,637,252,430,24,920,332,49,18,10,112,102,7.3,0.3,1.4,0.2,0.3,0.3,0,22.2,3,1.2,2,0.1,4.3,1.6,0.2,0.1,0,0.5,0.5
NHS Highland,2024,45-49,All,Board,,1623,82,431,78,141,207,0,4708,848,250,375,42,1572,360,58,40,30,139,180,8.3,0.4,2.2,0.4,0.7,1.1,0,24.1,4.3,1.3,1.9,0.2,8.1,1.8,0.3,0.2,0.2,0.7,0.9
NHS Highland,2024,50-54,All,Board,,2116,195,746,161,364,470,10,5933,1405,240,465,104,3199,415,147,66,71,217,333,9.1,0.8,3.2,0.7,1.6,2,0,25.5,6,1,2,0.4,13.7,1.8,0.6,0.3,0.3,0.9,1.4
NHS Highland,2024,55-59,All,Board,,2406,387,1228,285,720,1046,23,6874,2283,217,469,203,5234,435,384,90,161,339,644,8.9,1.4,4.5,1.1,2.7,3.9,0.1,25.4,8.4,0.8,1.7,0.7,19.3,1.6,1.4,0.3,0.6,1.3,2.4
NHS Highland,2024,60-64,All,Board,,2319,638,1813,490,953,1619,50,6423,2777,137,487,286,6803,421,775,153,319,378,934,8.8,2.4,6.9,1.9,3.6,6.1,0.2,24.4,10.5,0.5,1.8,1.1,25.8,1.6,2.9,0.6,1.2,1.4,3.5
NHS Highland,2024,65-69,All,Board,,1998,949,2267,817,1161,2095,123,5318,2895,77,417,422,7849,340,1028,178,449,408,1185,8.7,4.1,9.8,3.5,5,9.1,0.5,23.1,12.6,0.3,1.8,1.8,34,1.5,4.5,0.8,1.9,1.8,5.1
NHS Highland,2024,70-74,All,Board,,1742,1374,2588,1327,1317,2305,280,4210,2985,73,374,578,8649,291,1423,224,521,422,1470,8.7,6.9,12.9,6.6,6.6,11.5,1.4,21,14.9,0.4,1.9,2.9,43.2,1.5,7.1,1.1,2.6,2.1,7.3
NHS Highland,2024,75-79,All,Board,,1429,1968,3001,2042,1323,2797,585,3283,2967,26,289,784,8784,255,1560,259,582,420,1816,8.2,11.4,17.3,11.8,7.6,16.1,3.4,18.9,17.1,0.2,1.7,4.5,50.7,1.5,9,1.5,3.4,2.4,10.5
NHS Highland,2024,80-84,All,Board,,902,1743,2138,2088,900,2209,807,1848,1983,15,179,791,6227,205,1320,253,497,302,1557,8.3,16.1,19.7,19.3,8.3,20.4,7.4,17.1,18.3,0.1,1.7,7.3,57.5,1.9,12.2,2.3,4.6,2.8,14.4
NHS Highland,2024,85plus,All,Board,,632,1976,1793,2871,611,2189,1294,1322,1516,5,117,1022,5801,254,1491,373,425,218,1862,6.8,21.3,19.3,30.9,6.6,23.6,13.9,14.2,16.3,0.1,1.3,11,62.4,2.7,16,4,4.6,2.3,20
NHS Highland,2024,All,All,Board,,24277,9445,16754,10279,7627,15060,3179,55290,21636,2354,5165,4307,55872,4000,8303,1707,3079,3182,10256,7.3,2.8,5,3.1,2.3,4.5,1,16.7,6.5,0.7,1.6,1.3,16.8,1.2,2.5,0.5,0.9,1,3.1
NHS Highland,2025,00-4,All,Board,,75,0,5,0,5,0,0,0,10,10,32,5,0,0,0,0,0,0,10,0.6,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0,0,0,0,0,0.1
NHS Highland,2025,05-9,All,Board,,681,0,10,0,0,0,0,5,38,10,79,5,5,0,0,0,0,0,10,4.5,0,0.1,0,0,0,0,0,0.3,0.1,0.5,0,0,0,0,0,0,0,0.1
NHS Highland,2025,10-14,All,Board,,1076,0,29,0,0,0,0,5,82,36,121,5,10,0,0,5,0,10,10,6.2,0,0.2,0,0,0,0,0,0.5,0.2,0.7,0,0.1,0,0,0,0,0.1,0.1
NHS Highland,2025,15-19,All,Board,,934,0,28,0,0,0,0,204,136,156,162,0,15,20,5,0,0,18,10,5.4,0,0.2,0,0,0,0,1.2,0.8,0.9,0.9,0,0.1,0.1,0,0,0,0.1,0.1
NHS Highland,2025,20-24,All,Board,,817,5,31,5,5,5,0,832,146,167,225,5,34,67,5,5,0,25,15,5.7,0,0.2,0,0,0,0,5.8,1,1.2,1.6,0,0.2,0.5,0,0,0,0.2,0.1
NHS Highland,2025,25-29,All,Board,,1131,10,42,10,15,5,0,2013,211,239,252,10,107,165,0,10,0,39,21,6.6,0.1,0.2,0.1,0.1,0,0,11.7,1.2,1.4,1.5,0.1,0.6,1,0,0.1,0,0.2,0.1
NHS Highland,2025,30-34,All,Board,,1411,27,118,23,20,10,0,3190,283,224,325,10,254,193,21,10,5,69,35,7,0.1,0.6,0.1,0.1,0,0,15.9,1.4,1.1,1.6,0,1.3,1,0.1,0,0,0.3,0.2
NHS Highland,2025,35-39,All,Board,,1460,41,187,33,28,30,0,4067,486,253,358,20,467,255,25,25,5,79,57,7.1,0.2,0.9,0.2,0.1,0.1,0,19.8,2.4,1.2,1.7,0.1,2.3,1.2,0.1,0.1,0,0.4,0.3
NHS Highland,2025,40-44,All,Board,,1555,60,283,45,63,79,0,4631,663,257,407,28,942,329,49,23,10,126,91,7.3,0.3,1.3,0.2,0.3,0.4,0,21.7,3.1,1.2,1.9,0.1,4.4,1.5,0.2,0.1,0,0.6,0.4
NHS Highland,2025,45-49,All,Board,,1664,84,427,70,152,189,0,4687,890,251,404,44,1644,358,57,44,27,140,189,8.3,0.4,2.1,0.4,0.8,0.9,0,23.5,4.5,1.3,2,0.2,8.2,1.8,0.3,0.2,0.1,0.7,0.9
NHS Highland,2025,50-54,All,Board,,2091,184,728,153,339,449,5,5625,1427,248,462,110,3147,418,128,57,69,208,343,9.3,0.8,3.2,0.7,1.5,2,0,24.9,6.3,1.1,2,0.5,14,1.9,0.6,0.3,0.3,0.9,1.5
NHS Highland,2025,55-59,All,Board,,2417,383,1216,287,705,1029,30,6698,2239,213,462,203,5241,416,383,102,149,309,624,9.1,1.4,4.6,1.1,2.7,3.9,0.1,25.3,8.4,0.8,1.7,0.8,19.8,1.6,1.4,0.4,0.6,1.2,2.4
NHS Highland,2025,60-64,All,Board,,2470,665,1887,509,966,1670,51,6675,2923,165,493,307,7001,452,742,162,328,432,984,9.1,2.4,6.9,1.9,3.5,6.1,0.2,24.5,10.7,0.6,1.8,1.1,25.7,1.7,2.7,0.6,1.2,1.6,3.6
NHS Highland,2025,65-69,All,Board,,2110,954,2283,807,1200,2171,116,5447,3049,84,446,453,8020,348,1050,209,434,425,1216,9,4.1,9.7,3.4,5.1,9.2,0.5,23.2,13,0.4,1.9,1.9,34.1,1.5,4.5,0.9,1.8,1.8,5.2
NHS Highland,2025,70-74,All,Board,,1793,1398,2614,1337,1299,2332,279,4285,3049,70,372,597,8658,292,1392,246,514,415,1423,8.9,6.9,13,6.6,6.4,11.6,1.4,21.3,15.1,0.3,1.8,3,43,1.4,6.9,1.2,2.6,2.1,7.1
NHS Highland,2025,75-79,All,Board,,1505,1967,3120,2104,1355,2776,582,3402,3029,30,301,819,9008,242,1590,320,586,432,1827,8.4,11,17.5,11.8,7.6,15.6,3.3,19.1,17,0.2,1.7,4.6,50.6,1.4,8.9,1.8,3.3,2.4,10.3
NHS Highland,2025,80-84,All,Board,,914,1820,2234,2080,901,2174,795,1872,2034,17,193,818,6356,215,1337,303,449,295,1647,8.2,16.3,20,18.7,8.1,19.5,7.1,16.8,18.2,0.2,1.7,7.3,57,1.9,12,2.7,4,2.6,14.8
NHS Highland,2025,85plus,All,Board,,688,2074,1903,2943,618,2220,1313,1375,1627,5,134,1061,5994,258,1526,426,426,232,1948,7.1,21.6,19.8,30.6,6.4,23.1,13.6,14.3,16.9,0.1,1.4,11,62.3,2.7,15.9,4.4,4.4,2.4,20.2
NHS Highland,2025,All,All,Board,,24792,9672,17142,10411,7669,15139,3178,55012,22322,2442,5228,4495,56904,4025,8315,1942,3009,3254,10465,7.4,2.9,5.1,3.1,2.3,4.5,1,16.5,6.7,0.7,1.6,1.3,17,1.2,2.5,0.6,0.9,1,3.1
NHS Lanarkshire,2022,00-4,All,Board,,379,0,5,0,5,0,0,0,15,15,69,5,5,0,0,0,0,5,31,1.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1
NHS Lanarkshire,2022,05-9,All,Board,,1490,0,23,0,5,0,0,0,113,40,147,5,15,0,0,0,0,5,30,4.1,0,0.1,0,0,0,0,0,0.3,0.1,0.4,0,0,0,0,0,0,0,0.1
NHS Lanarkshire,2022,10-14,All,Board,,2001,0,35,5,10,0,0,16,206,67,274,0,15,0,5,0,0,10,28,5.1,0,0.1,0,0,0,0,0,0.5,0.2,0.7,0,0,0,0,0,0,0,0.1
NHS Lanarkshire,2022,15-19,All,Board,,1864,0,50,5,15,5,0,306,270,173,354,5,30,25,15,5,0,20,26,5.1,0,0.1,0,0,0,0,0.8,0.7,0.5,1,0,0.1,0.1,0,0,0,0.1,0.1
NHS Lanarkshire,2022,20-24,All,Board,,2077,5,74,23,19,5,0,1891,356,199,505,10,70,110,15,5,5,33,23,5.6,0,0.2,0.1,0.1,0,0,5.1,1,0.5,1.4,0,0.2,0.3,0,0,0,0.1,0.1
NHS Lanarkshire,2022,25-29,All,Board,,2551,20,149,25,24,5,0,4330,473,216,615,17,164,257,46,5,5,58,43,6.2,0,0.4,0.1,0.1,0,0,10.6,1.2,0.5,1.5,0,0.4,0.6,0.1,0,0,0.1,0.1
NHS Lanarkshire,2022,30-34,All,Board,,2790,46,252,53,41,26,0,6929,700,245,716,21,461,361,55,10,10,99,94,6.2,0.1,0.6,0.1,0.1,0.1,0,15.5,1.6,0.5,1.6,0,1,0.8,0.1,0,0,0.2,0.2
